GCF	BGC Name	Organism	BGC Class	product	description
GCF23	BGC0002379	Pseudomonas sp. RtIB026	NRPS	NRPS	Pseudomonas sp. RtIB026 DNA, complete genome
GCF131	BGC0001779	Streptomyces nodosus	RiPP	RRE-containing	Streptomyces nodosus strain ATCC 14899 genome
GCF200	BGC0001721	Burkholderia cepacia	NRPS	NRP-metallophore.NRPS	Burkholderia cepacia strain 89 ornibactin biosynthetic gene cluster, partial sequence
GCF224	X00011_2.region010	Paenibacillus sp Unclassified.	NRPS.other	NRPS.betalactone	Paenibacillus sp strain X00011
GCF228	BGC0000889	Streptomyces sp. WK-5344	other	melanin	Streptomyces sp. WK-5344 DNA, fev gene cluster, complete sequence
GCF92	BGC0001437	Pseudomonas fluorescens	NRPS.other	NRPS.hserlactone	Pseudomonas fluorescens obafluorin biosynthesis gene cluster, complete sequence
GCF66	BGC0000377	Bacillus sp. NK2003	NRPS	NRPS	Bacillus sp. NK2003 koranimine biosynthetic gene cluster, complete sequence
GCF246	BGC0002493	Paracoccus denitrificans PD1222	NRPS	NRP-metallophore	Paracoccus denitrificans PD1222 chromosome 1, complete sequence
GCF265	BGC0002073	Corynebacterium propinquum	other	NI-siderophore	Corynebacterium propinquum strain HSID18035 NODE_6_length_129602_cov_168.737053, whole genome shotgun sequence
GCF42	BGC0003084	Saccharopolyspora antimicrobica	NRPS	CDPS	Saccharopolyspora antimicrobica strain DSM 45119 Ga0074777_12, whole genome shotgun sequence
GCF11	BGC0001469	Brevibacillus sp. Leaf182	NRPS	NRPS	Brevibacillus sp. Leaf182 182_CLC_4_consensus, whole genome shotgun sequence
GCF1	BGC0000729	Klebsiella pneumoniae	NA	unknown	Klebsiella pneumoniae capsular polysaccharides biosynthesis gene cluster, complete cds, strain: NTUH-K9534
GCF54	BGC0000227	Streptomyces violaceoruber	PKS.RiPP	T2PKS.azole-containing-RiPP	Streptomyces violaceoruber Tu22 granaticin biosynthetic gene cluster
GCF46	BGC0003115	Penicillium crustosum	PKS	T1PKS	Penicillium crustosum 3-orsellinoxypropanoic acid synthase (oesA) gene, complete cds
GCF316	X00011_2.region006	Paenibacillus sp Unclassified.	RiPP	cyclic-lactone-autoinducer	Paenibacillus sp strain X00011
GCF61	BGC0001971	Okeania hirsuta	NRPS.PKS	NRPS.PKS-like.T1PKS.T3PKS	Okeania hirsuta strain PAP-21-Jun-06-1 malyngamide I gene cluster, complete sequence
GCF90	BGC0001159	Streptomyces sp. CNQ-418	PKS	T1PKS	Streptomyces sp. CNQ-418 mpy gene cluster, complete sequence
GCF317	BGC0001145	Streptomyces mobaraensis NBRC 13819 = DSM 40847	RiPP	azole-containing-RiPP	Streptomyces mobaraensis NBRC 13819 = DSM 40847 contig028, whole genome shotgun sequence
GCF312	BGC0000701	Streptomyces hygroscopicus subsp. yingchengensis	other	amglyccycl	Streptomyces hygroscopicus subsp. yingchengensis jinggangmycin biosynthetic gene cluster, complete sequence
GCF224	X00006_1.region015	Paenibacillus sp Unclassified.	NRPS.other	NRPS.betalactone	Paenibacillus sp strain X00006
GCF318	X00012_1.region005	Paenibacillus sp Unclassified.	NRPS	NRPS-like	Paenibacillus sp strain X00012
GCF127	BGC0000980	Aphanizomenon sp. 22D11	PKS	T1PKS	Aphanizomenon sp. 22D11 cylindrospermopsin biosynthesis gene cluster, partial sequence
GCF159	BGC0002538	Chaetomium olivaceum	NRPS.PKS	NRPS.T1PKS	Chaetomium olivaceum strain SD-80A haetolivacine biosynthetic gene cluster, partial sequence
GCF51	BGC0002987	Fusarium scirpi	PKS	T1PKS.T3PKS	Fusarium scirpi FscA (fscA), FscB (fscB), FscC (fscC), FscD (fscD), FscE (fscE), FscF (fscF), and FscG (fscG) genes, complete cds
GCF10	BGC0001716	Xenorhabdus nematophila AN6/1	NRPS	NRPS	Xenorhabdus nematophila AN6/1 genome assembly XNC2, chromosome : I
GCF158	BGC0001609	Trichoderma virens Gv29-8	NRPS	NRPS	Trichoderma virens Gv29-8 TRIVIscaffold_47, whole genome shotgun sequence
GCF263	BGC0000738	Pasteurella multocida	NA	unknown	Pasteurella multocida P1234 region 2 capsule biosynthesis gene cluster, partial sequence
GCF33	BGC0001785	Streptomyces spectabilis	NRPS.PKS	NRPS-like.T1PKS	Streptomyces spectabilis strain CCTCC M2017417 stv gene cluster, complete sequence
GCF289	BGC0000788	Salmonella enterica subsp. salamae serovar Greenside	NA	unknown	Salmonella enterica subsp. salamae serovar Greenside UDP-GlcNAc 4-epimerase (gne), UDP-glucose pyrophosporylase (galF), complete cds; O-antigen gene cluster, complete sequence; 6-phosphogluconate dehydrogenase (gnd), putative GDP-colitose biosynthetic protein (col1), putative GDP-colitose biosynthetic protein (col2), UDP-glucose-6-dehydrogenase (ugd), O-antigen chain length determinant (wzz), and phosphoribosyl-AMP cyclohydrolase (hisI) genes, complete cds
GCF78	BGC0000894	Monascus aurantiacus	NA	unknown	Monascus aurantiacus citrinin biosynthesis gene cluster, complete sequence
GCF239	BGC0000534	Streptococcus mutans	RiPP	lanthipeptide-class-ii	Streptococcus mutans lantibiotic mutacin K8 gene locus, partial sequence
GCF101	BGC0001428	Myxococcus xanthus	NRPS.PKS	NRPS.T1PKS	Myxococcus xanthus strain Mx48 myxochromide A biosynthetic gene cluster, complete sequence
GCF54	BGC0000263	Streptomyces ravidus	PKS	T2PKS	Streptomyces ravidus ravidomycin biosynthetic gene cluster, strain C23201NS3
GCF121	BGC0001550	Streptomyces katrae	RiPP	lassopeptide	Streptomyces katrae strain NRRL B-16271 contig33.1, whole genome shotgun sequence
GCF36	BGC0001345	Stigmatella aurantiaca Sg a15	NRPS	NRP-metallophore.NRPS	Stigmatella aurantiaca myxochelin iron transport regulon, complete sequence
GCF239	BGC0000526	Streptococcus macedonicus	RiPP	lanthipeptide-class-ii	Streptococcus macedonicus strain ACA-DC 198 putative relaxase gene, complete cds; macedocin gene cluster, complete sequence; McdK (mcdK), McdR (mcdR), and hypothetical protein genes, complete cds; and hypothetical protein gene, partial cds
GCF41	BGC0001375	Penicillium simplicissimum	other	indole	Penicillium simplicissimum DNA, ptmO, ptmJ, ptmK, ptmE, ptmL gene cluster, strain: AK-40
GCF46	BGC0001906	Daldinia eschscholzii IFB-TL01	PKS	T1PKS	Daldinia eschscholzii IFB-TL01 unplaced genomic scaffold scaffold_20, whole genome shotgun sequence
GCF2	BGC0002153	uncultured Verrucomicrobiota bacterium	PKS	T3PKS.transAT-PKS	Uncultured Verrucomicrobia bacterium clone las_BGC_v1 lasonolide A biosynthesis gene cluster, complete sequence
GCF60	BGC0002668	Clostridium estertheticum	RiPP	lanthipeptide-class-i	Clostridium estertheticum strain CF004 contig00035, whole genome shotgun sequence
GCF54	BGC0001439	Streptomyces sp. CS113	PKS.saccharide	T2PKS.oligosaccharide	Streptomyces sp. CS113 genomic scaffold scaffold00001, whole genome shotgun sequence
GCF54	BGC0000229	Streptomyces lusitanus	PKS.saccharide	T2PKS.oligosaccharide	Streptomyces lusitanus strain SCSIO LR32 grincamycin gene cluster, partial sequence
GCF269	BGC0000484	Lactiplantibacillus plantarum	RiPP	glycocin	Lactobacillus plantarum strain KW30 hypothetical protein (gccI), hypothetical protein (gccH), UDP-GlcNAc glycosyltransferase family 2 (gccA), bacteriocin ABC transporter of glycocin F (gccB), hypothetical protein (gccC), hypothetical protein (gccD), putative LytTR response regulator (gccE), and prebacteriocin glycocin F (gccF) genes, complete cds
GCF123	BGC0001176	Streptomonospora alba	RiPP	lassopeptide	Streptomonospora alba strain YIM 90003 contig_9, whole genome shotgun sequence
GCF46	BGC0002212	Moniliophthora roreri MCA 2997	NRPS.PKS	NRPS-like.T1PKS	Moniliophthora roreri MCA 2997 sctg_0009_0002, whole genome shotgun sequence
GCF2	BGC0000345	Streptomyces hygroscopicus	NRPS.PKS	NRPS.T1PKS	Streptomyces hygroscopicus strain ATCC 53709 transposase gene, complete cds; eponemycin biosynthetic gene cluster, complete sequence; and transposase gene, complete cds
GCF166	BGC0002102	Streptomyces platensis	PKS	T1PKS	Streptomyces platensis strain M5455 pladienolide biosynthetic gene cluster, complete sequence
GCF105	BGC0001618	Staphylococcus hyicus	RiPP	lanthipeptide-class-i	Staphylococcus hyicus plasmid pRJ109 hyicin 3682 gene cluster, complete sequence
GCF180	BGC0002612	Aspergillus stellatus	PKS.terpene	T1PKS.terpene	Aspergillus stellifer DNA, anditomin biosynthetic gene cluster, complete sequence, strain: NBRC 32302
GCF234	BGC0001291	Enterococcus faecium	RiPP	RiPP-like.cyclic-lactone-autoinducer	Enterococcus faecium DNA contains enkB, enkB1, enkB2, enkB3, enkB4 genes for enterocin NKR-5-3B precursor peptide, proteins involved in secretion and immunity/maturation, immunity protein, strain: NKR-5-3
GCF90	BGC0001872	Xenorhabdus bovienii SS-2004	PKS	PUFA.hglE-KS	Xenorhabdus bovienii SS-2004 chromosome, complete genome
GCF194	BGC0000659	Saccharopolyspora erythraea NRRL 2338	terpene	terpene	Saccharopolyspora erythraea NRRL2338 complete genome
GCF337	X00001_1.region011	Paenibacillus sp Unclassified.	RiPP	cyclic-lactone-autoinducer	Paenibacillus sp strain X00001
GCF242	BGC0000516	Geobacillus thermodenitrificans	RiPP.terpene	lanthipeptide-class-ii.terpene-precursor	Geobacillus thermodenitrificans strain G11MC16 ctg51, whole genome shotgun sequence
GCF54	BGC0001438	Streptomyces sp. CS057	PKS.saccharide	T2PKS.oligosaccharide	Streptomyces sp. CS057 genomic scaffold scaffold00001, whole genome shotgun sequence
GCF88	BGC0000920	Bacillus cereus	NA	unknown	Bacillus cereus strain SPV PHA biosynthetic gene cluster, complete sequence
GCF51	BGC0001172	Streptomyces sp. CNH287	PKS	T1PKS	Streptomyces sp. CNH-287 clz gene cluster, complete sequence
GCF4	X00005_1.region012	Paenibacillus sp Unclassified.	NRPS.PKS	HR-T2PKS.NRPS.T1PKS	Paenibacillus sp strain X00005
GCF54	BGC0000223	uncultured bacterium BAC AB649/1850	PKS	T2PKS	Uncultured bacterium BAC AB649/1850 fluostatin biosynthetic gene cluster, complete sequence
GCF54	BGC0000231	Streptomyces griseus	PKS	T2PKS	S.griseus genes for ketosynthase, acyl carrier protein, ketoreductase, cyclase and dehydrase
GCF156	BGC0001296	Streptomyces sp. MSC090213JE08	PKS	T1PKS	Streptomyces sp. MSC090213JE08 DNA, streptazone E biosynthetic gene cluster
GCF322	BGC0000470	Streptomyces sp. WMMB 272	RiPP	bottromycin	Streptomyces sp. WMMB 272 bottromycin D gene cluster, partial sequence
GCF41	BGC0001318	Manihot esculenta	NA	unknown	Linamarin / Lotaustralin biosynthetic gene cluster
GCF137	BGC0002405	Solanum lycopersicum	NA	unknown	Solanum lycopersicum cultivar Heinz 1706 chromosome 7, SL3.0, whole genome shotgun sequence
GCF116	BGC0001711	Burkholderia pyrrocinia	NRPS.PKS	NRPS.T1PKS	Burkholderia pyrrocinia strain Lyc2 contig_9, whole genome shotgun sequence
GCF131	BGC0002986	Streptomyces sp.	RiPP	lassopeptide	Streptomyces sp. M-271 DNA, MS-271 biosynthetic gene cluster
GCF346	X00007_1.region006	Paenibacillus sp Unclassified.	RiPP	proteusin	Paenibacillus sp strain X00007
GCF94	BGC0003170	Paenibacillus polymyxa M1	NRPS	NRPS	Paenibacillus polymyxa polymyxin gene cluster, strain M1
GCF46	BGC0001446	Aspergillus flavus NRRL3357	PKS	T1PKS	Aspergillus flavus NRRL3357 scf_1106286418772 genomic scaffold, whole genome shotgun sequence
GCF143	BGC0002614	Penicillium shearii	PKS.terpene	T1PKS.terpene	Penicillium shearii IFM 42152 DNA, diterpenoid pyrones biosynthesis gene cluster
GCF296	X00009_1.region002	Paenibacillus sp Unclassified.	RiPP	proteusin	Paenibacillus sp strain X00009
GCF90	BGC0001027	Nocardia farcinica IFM 10152	NRPS	NRP-metallophore.NRPS	Nocardia farcinica IFM 10152 DNA, complete genome
GCF118	BGC0001684	Klebsiella variicola	NA	unknown	Klebsiella variicola strain 342, complete genome
GCF151	BGC0002234	Aspergillus ruber CBS 135680	PKS.other	T1PKS.indole	Aspergillus ruber CBS 135680 unplaced genomic scaffold scaffold00012, whole genome shotgun sequence
GCF86	X00003_1.region012	Paenibacillus sp Unclassified.	PKS	T1PKS	Paenibacillus sp strain X00003
GCF95	BGC0001125	Cylindrospermum alatosporum CCALA 988	NRPS.PKS	NRPS.T1PKS	Cylindrospermum alatosporum CCALA 988 ORF1 (orf1) gene, complete cds; and puw gene cluster, complete sequence
GCF6	BGC0002881	Burkholderia gladioli	NRPS.other	NRPS.ectoine	Burkholderia gladioli strain BCC0238, whole genome shotgun sequence
GCF128	BGC0001555	Escherichia coli chi7122	NA	unknown	Escherichia coli chi7122 plasmid pAPEC-1, complete sequence
GCF109	BGC0000757	Avibacterium paragallinarum	NA	unknown	Avibacterium paragallinarum strain TW07 capsule biosynthesis region 2 gene cluster, complete sequence
GCF2	BGC0001203	uncultured bacterium AR_456	NRPS.PKS	NRPS.T1PKS	Uncultured bacterium AR_456 clarepoxcin biosynthetic gene cluster, complete sequence
GCF245	BGC0003065	Thermobifida fusca	NA	unknown	Thermobifida fusca strain UPMC 901 chromosome, complete genome
GCF209	BGC0002999	Penicillium roqueforti FM164	PKS.other	T1PKS.indole	Penicillium roqueforti FM164 genomic scaffold, ProqFM164S03, whole genome shotgun sequence
GCF86	BGC0001275	Glarea lozoyensis	PKS	T1PKS	Glarea lozoyensis polyketide syntase 2 (pks2) gene, complete cds
GCF141	BGC0001059	Bacillus cereus	NRPS.PKS	NRPS.T1PKS	Bacillus cereus strain UW85 zwittermicin A biosynthetic gene cluster, complete sequence
GCF278	BGC0000852	Sporosarcina pasteurii	other	ectoine	Bacillus pasteurii osmotically regulated ectoine biosynthesis gene cluster, complete sequence
GCF143	BGC0002759	Penicillium bialowiezense	PKS.terpene	T1PKS.terpene	Penicillium bialowiezense CBS 227.28 DNA, brevione E biosynthetic gene cluster
GCF146	BGC0000814	Nonomuraea longicatena	other	indole	Nonomuraea longicatena strain NRRL15532 putative transcriptional regulator gene, partial cds; putative amidase, integral membrane protein, putative threonine synthase, ATP-dependent RNA helicase, and putative ArsR family transcriptional regulator genes, complete cds; K-252a biosynthetic gene cluster, complete sequence; and putative peptide transport system secreted peptide binding protein, putative peptide transport system permease, putative peptide transport permease, putative ABC transporter ATP-binding protein, and putative peptide transport ATP-binding protein genes, complete cds
GCF326	X00009_1.region006	Paenibacillus sp Unclassified.	RiPP	cyclic-lactone-autoinducer	Paenibacillus sp strain X00009
GCF83	BGC0000357	Penicillium rubens Wisconsin 54-1255	NRPS	NRPS	Penicillium chrysogenum Wisconsin 54-1255 complete genome, contig Pc00c16
GCF247	BGC0000942	Bacillus anthracis str. Ames	other	NI-siderophore	Bacillus anthracis str. Ames, complete genome
GCF225	X00006_1.region014	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.transAT-PKS	Paenibacillus sp strain X00006
GCF338	X00002_1.region004	Paenibacillus sp Unclassified.	RiPP	proteusin	Paenibacillus sp strain X00002
GCF22	BGC0001751	Pyxidicoccus sp. MCy9557	NRPS.PKS	NRPS.PKS-like.transAT-PKS	Pyxidicoccus sp. MCy9557 transposase, HTH domain containing protein, and transposase genes, complete cds; pyxipyrrolone biosynthetic gene cluster, complete sequence; and endonuclease/exonuclease, sugar O-acetyltransferase, and sugar ABC transporter substrate binding protein genes, complete cds
GCF181	BGC0000633	Streptomyces avermitilis	terpene	terpene	Streptomyces avermitilis carotenoid biosynthetic gene cluster
GCF275	BGC0000091	Streptomyces sp. CNQ-617	PKS	prodigiosin	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence
GCF63	X00006_1.region012	Paenibacillus sp Unclassified.	NRPS	NRPS	Paenibacillus sp strain X00006
GCF227	BGC0002696	Rhodococcus erythropolis	NRPS	NRP-metallophore.NRPS	Rhodococcus erythropolis strain B7g NODE_8_length_284566_cov_34.9731_ID_15, whole genome shotgun sequence
GCF156	BGC0001770	Streptomyces sp. SD85	PKS	T1PKS	Streptomyces sp. SD85 sceliphrolactam biosynthesic gene cluster, complete sequence
GCF281	BGC0000744	Streptococcus agalactiae	NA	unknown	Streptococcus agalactiae strain SG99/143 capsular polysaccharide biosynthesis gene cluster, partial sequence
GCF98	BGC0001826	Xenorhabdus sp. KJ12.1	NRPS	NRPS	Xenorhabdus sp. KJ12.1 Xekj_32, whole genome shotgun sequence
GCF83	BGC0001393	Staphylococcus lugdunensis N920143	NRPS	NRPS	Staphylococcus lugdunensis N920143 complete genome
GCF183	BGC0001365	Claviceps purpurea 20.1	NRPS.other	NRPS.indole	Claviceps purpurea 20.1 WGS project CAGA00000000 data, contig scaffold00012, whole genome shotgun sequence
GCF219	BGC0002872	Curvularia lunata	PKS.terpene	T1PKS.terpene	Curvularia lunata isolate ATCC 74067 Clz gene cluster, partial sequence
GCF46	BGC0000057	Aspergillus nidulans FGSC A4	PKS	T1PKS	Aspergillus nidulans FGSC A4 chromosome II ANcontig1.135, whole genome shotgun sequence
GCF27	BGC0001149	Pseudomonas sp. SHC52	NRPS	NRPS	Pseudomonas sp. SHC52 WGS project CBLV00000000 data, strain SHC52, contig 1_49, whole genome shotgun sequence
GCF179	BGC0000999	Lysobacter enzymogenes	NRPS.PKS	NRPS.T1PKS	Lysobacter enzymogenes strain C3 HSAF biosynthetic gene cluster, partial sequence
GCF180	BGC0000682	Aspergillus terreus NIH2624	PKS.terpene	T1PKS.terpene	Aspergillus terreus NIH2624 scaffold_16 genomic scaffold, whole genome shotgun sequence
GCF41	BGC0002746	Dendrothele bispora CBS 962.96	NA	unknown	Dendrothele bispora CBS 962.96 unplaced genomic scaffold K435scaffold_621, whole genome shotgun sequence
GCF29	BGC0001637	Klebsiella oxytoca	NRPS	NRPS	Klebsiella oxytoca kleboxymycin biosynthetic gene cluster, complete sequence
GCF22	BGC0002940	Sorangium cellulosum	NRPS.PKS	NRPS.transAT-PKS	Sorangium cellulosum strain So ce427 disorazole Z biosynthetic gene cluster, complete sequence
GCF110	BGC0000100	Streptomyces virginiae	PKS	T1PKS	Streptomyces cinnamonensis polyether antibiotic monensin biosynthesis gene cluster, partial sequence
GCF2	BGC0001333	uncultured bacterium AB1650	other	indole	Uncultured bacterium AB1650 antitumor substance BE-54017 gene cluster, complete sequence
GCF243	BGC0003047	Fusarium fujikuroi IMI 58289	NRPS	NRPS	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr09
GCF143	BGC0000022	Aspergillus nidulans FGSC A4	PKS	T1PKS	Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15, whole genome shotgun sequence
GCF26	BGC0000593	Microcystis aeruginosa MRC	RiPP	microviridin	Microcystis aeruginosa MRC microviridin biosynthetic gene cluster, strain MRC
GCF4	BGC0002693	Pseudomonas sp. SXM-1	NRPS	NRP-metallophore.NRPS	Pseudomonas sp. SXM-1 chromosome, complete genome
GCF194	BGC0002666	Streptomyces sp. MA37	NRPS.terpene	NRPS.terpene	Streptomyces sp. MA37 legonmycins biosynthesis gene cluster, complete sequence
GCF11	BGC0000374	Streptomyces griseoflavus	NRPS	NRPS	Streptomyces griseoflavus strain W-384 hormaomycin biosynthetic gene cluster, complete sequence
GCF65	BGC0001036	Streptomyces sp. MK498-98F14	NRPS.PKS	NRPS.T1PKS	Streptomyces sp. MK498-98F14 3-dehydroquinate synthase gene, complete cds; polyoxypeptin gene cluster, complete sequence; and hypothetical protein gene, complete cds
GCF92	BGC0002075	Pseudomonas fluorescens	NRPS	NRPS	Pseudomonas fluorescens strain HKI0770 contig14, whole genome shotgun sequence
GCF277	BGC0003156	Streptomyces sp. TP-A0356	NA	unknown	Streptomyces sp. TP-A0356 streptothricin biosynthetic gene cluster, partial sequence
GCF54	BGC0002383	Streptomyces sp. SN-593	PKS	T2PKS	Streptomyces sp. SN-593 DNA, nearly complete genome
GCF54	BGC0002137	Streptomyces sp. NRRL F-3213	PKS	T2PKS	Streptomyces sp. NRRL F-3213 contig20.1, whole genome shotgun sequence
GCF251	BGC0000935	Streptomyces antibioticus	PKS.other	PKS-like.T1PKS.phenazine	Streptomyces antibioticus strain Tu 2706 plasmid esmeraldin biosynthetic gene cluster, complete sequence
GCF2	BGC0002892	Nonomuraea sp. ATCC 55076	RiPP	RRE-containing.azole-containing-RiPP	Nonomuraea sp. ATCC 55076 chromosome, complete genome
GCF233	X00002_1.region010	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.transAT-PKS	Paenibacillus sp strain X00002
GCF56	BGC0001512	Streptomyces sp.	PKS	T2PKS	Streptomyces sp. strain MA6657 anthrabenzoxocinone biosynthetic gene cluster, complete sequence
GCF164	BGC0002086	Micromonospora carbonacea	PKS	T1PKS	Micromonospora carbonacea strain aurantiaca chromosome, complete genome
GCF286	BGC0002435	Micromonospora haikouensis	NA	unknown	Micromonospora haikouensis strain DSM 45626 genome assembly, contig: Ga0070558_124, whole genome shotgun sequence
GCF206	BGC0000281	Pseudomonas fluorescens	PKS	T3PKS	Pseudomonas fluorescens strain 2P24 phl 2,4-DAPG gene cluster, complete sequence
GCF12	BGC0000426	Paenibacillus larvae	NRPS	NRPS	Paenibacillus larvae strain DSM 25430 SevA (sevA) and SevB (sevB) genes, complete cds
GCF317	BGC0000603	Streptomyces hygroscopicus	RiPP	azole-containing-RiPP	Streptomyces hygroscopicus strain 10-22 cyclothiazomycin biosynthesis gene cluster, complete sequence
GCF23	BGC0000398	Pseudomonas sessilinigenes	NRPS	NRPS	Pseudomonas sp. CMR12a putative acetyltransferase, and LuxR family transcriptional regulator genes, complete cds; motilin biosynthesis gene cluster, complete sequence; and macrolide-specific efflux protein (macA), macrolide export ATP-binding/permease protein MacB (macB), LuxR family transcriptional regulator, glyoxalase family protein, and heme biosynthesis protein genes, complete cds
GCF26	BGC0002623	Microcystis aeruginosa LEGE 91341	NRPS.PKS	NRPS.T1PKS	Microcystis aeruginosa LEGE 91341 NODE_87_length_29421_cov_24.0279, whole genome shotgun sequence
GCF166	BGC0001648	Streptomyces sp.	PKS	T1PKS	Streptomyces sp. strain FXJ1.172 lasalocid biosynthetic gene cluster, partial sequence
GCF174	BGC0000951	Streptomyces coeruleorubidus	NRPS	NRPS	Streptomyces coeruleorubidus strain NRRL 18370 pacidamycin biosynthetic gene cluster, complete sequence
GCF87	BGC0001002	Streptomyces roseoverticillatus	PKS	T1PKS	Streptomyces roseoverticillatus DNA, contains jaw123456789 gene cluster, strain: HP-891
GCF208	BGC0002192	Xylariales sp. No.14919	PKS	T1PKS	Fungal sp. No.14919 DNA, contig: Contig0041, whole genome shotgun sequence
GCF166	BGC0001694	Streptomyces koyangensis	PKS	T1PKS	Streptomyces koyangensis neoabyssomincin/abyssomicinbiosynthetic gene cluster, complete sequence
GCF92	BGC0001451	Candidatus Burkholderia crenata	NRPS	NRPS	Candidatus Burkholderia crenata strain UZHbot9 map unlocalized plasmid pBCRE02, whole genome shotgun sequence
GCF179	BGC0002365	Streptomyces sp.	NRPS.PKS	NRPS.T1PKS	Streptomyces sp. strain SCSIO40010 fatty acid hydroxylase, polyketide synthase/non-ribosomal peptide synthetase, FAD-dependent oxidoreductase, alcohol dehydrogenase, and cytochrome P450 genes, complete cds
GCF327	BGC0000873	Saccharothrix mutabilis subsp. capreolus	PKS.other	arylpolyene.nucleoside	Saccharothrix mutabilis subsp. capreolus A201A biosynthetic gene cluster
GCF2	BGC0002100	Streptomyces sp. CS147	NRPS.PKS	HR-T2PKS.NRPS	Streptomyces sp. CS147 genomic scaffold scaffold00001, whole genome shotgun sequence
GCF161	BGC0000073	Streptomyces halstedii	PKS	T1PKS	Streptomyces halstedii halstoctacosanolide biosynthetic gene cluster (hlsA, hlsB, hlsC, hlsD, hlsE, hlsF, hlsG, hlsH, hlsI), complete cds
GCF146	BGC0000809	Actinomadura melliaura	RiPP.other	RRE-containing.azole-containing-RiPP.indole	Actinomadura melliaura strain SCC 1655 NADH oxidase and hypothetical proteins genes, complete cds; AT2433 biosynthetic gene cluster, complete sequence; and unknown genes
GCF48	BGC0001516	Aspergillus flavus NRRL3357	NRPS	NRPS-like	Aspergillus flavus NRRL3357 scf_1106286417600 genomic scaffold, whole genome shotgun sequence
GCF328	BGC0002652	Streptomyces sp. SHP22-7	NRPS	NRPS-like	Streptomyces sp. SHP22-7 strain SHP 22-7 contig10, whole genome shotgun sequence
GCF145	BGC0002066	Trichoderma harzianum	NRPS.PKS	NRPS.T1PKS	Trichoderma harzianum strain T6776 Scaffolds0072.1, whole genome shotgun sequence
GCF310	BGC0000705	Streptomyces kanamyceticus	other	2dos	Streptomyces kanamyceticus partial kanamycin biosynthesis gene cluster, strain DSM 40500
GCF164	BGC0000133	Amycolatopsis orientalis	PKS	T1PKS	Amycolatopsis orientalis quartromicin biosynthetic gene cluster, complete sequence
GCF302	BGC0001929	Streptococcus ferus	RiPP	RaS-RiPP	Streptococcus ferus strain NCTC12278 genome assembly, chromosome: 1
GCF41	BGC0001617	Stereum hirsutum FP-91666 SS1	terpene	terpene	Stereum hirsutum FP-91666 SS1 unplaced genomic scaffold STEHIscaffold_4, whole genome shotgun sequence
GCF148	BGC0001037	Aspergillus fumigatus Af293	NRPS.PKS	NRPS.T1PKS	Aspergillus fumigatus Af293 chromosome 8, whole genome shotgun sequence
GCF240	BGC0001701	Blautia obeum	RiPP	lanthipeptide-class-i	Blautia obeum strain A2-162 nisin O biosynthetic gene cluster, complete sequence
GCF24	BGC0000450	Streptomyces triostinicus	NRPS	NRPS	Streptomyces triostinicus triostin A biosynthetic gene cluster, complete sequence
GCF2	BGC0000876	Streptomyces tendae	NRPS	NRPS-like	Streptomyces tendae nikkomycin biosynthetic gene cluster (nikP1, nikP2, nikQ, nikR, nikS, nikT, nikU, nikV genes), strain Tue901
GCF259	BGC0000617	Weizmannia coagulans	RiPP	RiPP-like	Bacillus coagulans plasmid pI4 coagulin operon, complete sequence; and Mob/Pre (mob/pre) gene, complete cds
GCF179	BGC0002509	Streptomyces sp.	NRPS.PKS	NRPS.T1PKS	Streptomyces sp. strain S001 montamide biosynthetic gene cluster, partial sequence
GCF220	BGC0002479	Streptomyces miharaensis	NRPS.PKS	NRPS-like.T1PKS	Streptomyces miharaensis strain MS-1242 miharamycin biosynthetic gene cluster, complete sequence
GCF19	BGC0001186	Candidatus Entotheonella serta	PKS	T3PKS.transAT-PKS	Candidatus Entotheonella sp. (ex. Theonella swinhoei) misakinolide gene cluster, complete sequence
GCF182	BGC0001278	Fusarium sporotrichioides	terpene	terpene	Fusarium sporotrichioides trichothecene gene cluster, complete sequence
GCF257	BGC0001160	Synechococcus sp. PCC 7002	PKS	T1PKS	Synechococcus sp. PCC 7002, complete genome
GCF120	BGC0000553	Streptomyces filamentosus NRRL 15998	RiPP	lanthipeptide-class-iii	Streptomyces filamentosus NRRL 15998 supercont3.1, whole genome shotgun sequence
GCF147	BGC0002274	Aspergillus terreus NIH2624	NRPS	NRPS-like	Aspergillus terreus NIH2624 scaffold_3 genomic scaffold, whole genome shotgun sequence
GCF147	BGC0002736	Aspergillus terreus NIH2624	terpene	terpene	Aspergillus terreus NIH2624 scaffold_4 genomic scaffold, whole genome shotgun sequence
GCF203	X00007_1.region001	Paenibacillus sp Unclassified.	terpene	terpene	Paenibacillus sp strain X00007
GCF183	BGC0002501	Penicillium steckii	NRPS	NRPS	Penicillium steckii strain YE penigainamide biosynthetic gene cluster, complete sequence
GCF183	BGC0000321	Achaetomiella virescens	NRPS	NRPS	UNVERIFIED: Chaetomium virescens strain ATCC 26417 chaetocin biosynthetic gene cluster, complete sequence
GCF19	BGC0001772	Anabaena sp. UHCC 0451	NRPS.PKS	NRPS-like.T1PKS.transAT-PKS-like	Anabaena sp. UHCC 0451 scytophycin gene cluster, complete sequence
